,gender,ownsCar,ownsRealty,numChildren,totalIncome,incomeType,eduLvl,famStatus,housingType,occupation,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus
300810,F,Y,N,1,315000,Commercial associate,Higher education,Married,House / apartment,Accountants,3,40,6,1,1
300967,F,Y,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,58,0,1,1
300990,F,Y,Y,3,90000,Pensioner,Secondary / secondary special,Single / not married,Co-op apartment,Not identified,4,65,0,0,1
300995,F,Y,Y,3,90000,Pensioner,Secondary / secondary special,Single / not married,Co-op apartment,Not identified,4,65,0,0,0
301025,F,N,Y,0,85500,State servant,Secondary / secondary special,Married,House / apartment,Core staff,2,39,6,1,1
301069,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,Managers,2,48,6,1,1
301084,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,Managers,2,48,6,1,0
301178,F,N,Y,2,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,4,35,4,1,0
301216,F,N,Y,2,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,4,35,4,1,1
301384,M,N,Y,1,157500,State servant,Secondary / secondary special,Married,House / apartment,Security staff,3,28,2,1,1
301534,M,Y,Y,0,225000,Pensioner,Higher education,Separated,House / apartment,Not identified,1,57,0,0,0
301546,M,Y,Y,0,225000,Pensioner,Higher education,Separated,House / apartment,Not identified,1,57,0,0,1
301692,M,N,N,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,42,3,1,1
301704,M,N,N,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,42,3,1,0
301829,F,N,Y,0,148500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,1
301945,F,N,Y,0,148500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,0
302171,M,N,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,3,24,2,1,0
302203,F,N,N,0,81000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,54,28,1,1
302241,F,N,Y,0,405000,Commercial associate,Secondary / secondary special,Married,With parents,Laborers,2,40,9,1,0
302356,M,N,N,0,391500,Working,Secondary / secondary special,Single / not married,Municipal apartment,Sales staff,1,26,1,1,1
302378,M,N,N,0,391500,Working,Secondary / secondary special,Single / not married,Municipal apartment,Sales staff,1,26,1,1,0
302521,M,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,65,0,0,1
302729,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,1,44,14,1,1
302743,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,1,44,14,1,0
302752,F,N,Y,0,135000,Working,Higher education,Single / not married,House / apartment,Managers,1,55,10,1,0
302765,M,Y,Y,0,135000,Working,Higher education,Single / not married,House / apartment,Laborers,1,28,3,1,1
302816,F,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,64,0,0,1
302881,M,Y,N,0,256500,Pensioner,Higher education,Married,House / apartment,Not identified,2,60,0,0,1
302914,M,Y,N,0,256500,Pensioner,Higher education,Married,House / apartment,Not identified,2,60,0,0,0
303024,F,N,N,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,43,0,1,0
303045,M,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,54,0,1,0
303052,M,Y,N,0,157500,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,41,8,1,0
303076,M,Y,N,0,157500,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,41,8,1,1
303216,M,N,N,0,270000,Working,Higher education,Married,House / apartment,Not identified,2,30,6,1,0
303293,F,N,N,0,157500,State servant,Secondary / secondary special,Widow,House / apartment,Cleaning staff,1,56,18,1,0
303335,F,N,N,0,139500,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,26,2,1,1
303381,F,Y,N,3,135000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,5,31,8,1,1
303425,F,Y,N,3,135000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,5,31,8,1,0
303584,F,N,Y,1,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,3,42,18,1,1
303619,F,N,Y,1,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,3,42,18,1,0
303625,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Cooking staff,1,27,4,1,1
303655,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Cooking staff,1,27,4,1,0
303712,M,Y,N,2,139500,Working,Secondary / secondary special,Married,House / apartment,Core staff,4,36,4,1,0
303752,M,Y,Y,1,247500,Working,Secondary / secondary special,Married,House / apartment,Core staff,3,44,10,1,0
303793,M,Y,Y,1,247500,Working,Secondary / secondary special,Married,House / apartment,Core staff,3,44,10,1,1
303878,M,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,Security staff,2,55,15,1,0
303905,M,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,Security staff,2,55,15,1,1
304120,F,N,Y,1,324000,State servant,Higher education,Married,House / apartment,Managers,3,37,13,1,1
304359,F,N,Y,1,324000,State servant,Higher education,Married,House / apartment,Managers,3,37,13,1,0
772143,M,N,Y,0,135000,State servant,Higher education,Married,House / apartment,Core staff,2,53,7,1,1
304465,M,N,Y,0,135000,State servant,Higher education,Married,House / apartment,Core staff,2,53,7,1,0
304499,F,N,Y,2,58500,Working,Higher education,Married,House / apartment,Core staff,4,39,16,1,1
304509,F,N,Y,2,58500,Working,Higher education,Married,House / apartment,Core staff,4,39,16,1,0
304639,F,Y,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,59,0,0,1
304658,F,Y,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,59,0,0,0
304911,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,53,1,1,1
304968,M,Y,Y,3,202500,Working,Secondary / secondary special,Married,House / apartment,Not identified,5,37,10,1,1
305190,M,Y,Y,3,202500,Working,Secondary / secondary special,Married,House / apartment,Not identified,5,37,10,1,0
305752,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,35,2,1,1
305806,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,35,2,1,0
306036,F,N,Y,1,180000,State servant,Higher education,Married,House / apartment,High skill tech staff,3,31,9,1,1
306041,F,N,Y,1,180000,State servant,Higher education,Married,House / apartment,High skill tech staff,3,31,9,1,0
306206,F,N,Y,1,135000,Working,Secondary / secondary special,Civil marriage,With parents,Sales staff,3,32,1,1,1
306348,F,N,Y,1,135000,Working,Secondary / secondary special,Civil marriage,With parents,Sales staff,3,32,1,1,0
306488,F,N,Y,0,49500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,64,0,0,1
306492,M,N,Y,2,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,30,5,1,1
306542,M,N,Y,2,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,30,5,1,0
306620,M,Y,Y,14,225000,Working,Secondary / secondary special,Separated,House / apartment,Drivers,15,49,4,1,0
306731,M,Y,Y,0,112500,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,52,12,1,0
306766,F,Y,Y,4,157500,State servant,Secondary / secondary special,Separated,House / apartment,Security staff,5,39,11,1,1
306804,F,Y,Y,4,157500,State servant,Secondary / secondary special,Separated,House / apartment,Security staff,5,39,11,1,0
306845,F,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,58,3,1,1
306910,F,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,58,3,1,0
306937,M,Y,Y,0,222750,Working,Higher education,Married,House / apartment,Drivers,2,47,3,1,1
306996,M,Y,Y,0,222750,Working,Higher education,Married,House / apartment,Drivers,2,47,3,1,0
307245,F,N,Y,0,180000,Pensioner,Higher education,Married,House / apartment,Not identified,2,60,0,0,1
307331,F,N,Y,0,180000,Pensioner,Higher education,Married,House / apartment,Not identified,2,60,0,0,0
307431,F,N,Y,0,112500,Working,Incomplete higher,Civil marriage,House / apartment,Not identified,2,26,4,1,1
307797,F,N,Y,0,112500,Working,Incomplete higher,Civil marriage,House / apartment,Not identified,2,26,4,1,0
307974,M,N,Y,1,225000,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers,3,31,0,1,1
307980,M,N,Y,1,225000,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers,3,31,0,1,0
308008,F,N,Y,0,211500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,46,5,1,0
308019,F,N,Y,0,211500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,46,5,1,1
308056,F,N,Y,0,45000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,40,2,1,0
308065,F,Y,Y,0,85500,Working,Higher education,Married,House / apartment,Core staff,2,51,26,1,1
308181,F,Y,Y,0,85500,Working,Higher education,Married,House / apartment,Core staff,2,51,26,1,0
308189,M,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,Private service staff,2,39,7,1,1
308325,M,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,Private service staff,2,39,7,1,0
308402,F,N,N,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,39,18,1,1
308430,F,N,N,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,39,18,1,0
308640,F,N,N,0,67500,Working,Secondary / secondary special,Married,With parents,Medicine staff,2,43,23,1,1
308693,F,N,N,0,67500,Working,Secondary / secondary special,Married,With parents,Medicine staff,2,43,23,1,0
308922,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,53,18,1,1
308962,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,53,18,1,0
309186,F,Y,Y,1,261000,State servant,Higher education,Married,House / apartment,Managers,3,42,4,1,0
309191,F,Y,Y,1,261000,State servant,Higher education,Married,House / apartment,Managers,3,42,4,1,1
309362,M,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,58,11,1,1
309421,M,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,58,11,1,0
309466,F,Y,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,3,37,3,1,0
309525,F,N,Y,0,94500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,67,0,0,1
309594,F,N,Y,0,94500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,67,0,0,0
309608,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,55,6,1,1
309638,F,Y,Y,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,60,0,0,1
309678,F,Y,Y,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,60,0,0,0
772190,F,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,51,13,1,0
309793,F,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Private service staff,3,36,1,1,0
309802,F,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Private service staff,3,36,1,1,1
309890,M,N,Y,0,65250,Pensioner,Higher education,Married,House / apartment,Not identified,2,58,0,0,1
309948,M,N,Y,0,65250,Pensioner,Higher education,Married,House / apartment,Not identified,2,58,0,0,0
310022,M,N,Y,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Security staff,1,26,0,1,1
310035,M,Y,Y,0,180000,Working,Higher education,Single / not married,House / apartment,Drivers,1,26,1,1,1
310046,M,Y,Y,0,180000,Working,Higher education,Single / not married,House / apartment,Drivers,1,26,1,1,0
310080,F,N,Y,1,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,2,47,22,1,1
310173,F,N,Y,1,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,2,47,22,1,0
310309,F,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,55,7,1,0
310354,F,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,55,7,1,1
310485,M,Y,N,0,450000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,44,12,1,0
310496,M,Y,N,0,450000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,44,12,1,1
310593,F,Y,Y,1,225000,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,3,38,4,1,1
310674,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,58,0,0,1
310856,M,N,Y,0,72900,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,65,0,0,1
310956,M,N,Y,0,72900,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,65,0,0,0
310999,F,N,N,0,153000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,45,0,0,1
311032,F,N,N,0,153000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,45,0,0,0
311055,F,Y,Y,2,180000,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,36,3,1,0
311172,F,N,Y,0,162000,Working,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,2,40,19,1,1
311221,F,N,Y,0,162000,Working,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,2,40,19,1,0
311278,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,Core staff,2,47,2,1,1
311297,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,Core staff,2,47,2,1,0
311339,F,N,Y,0,270000,Commercial associate,Lower secondary,Civil marriage,House / apartment,Sales staff,2,40,5,1,1
311365,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,45,13,1,1
311464,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,45,13,1,0
311615,M,N,Y,0,225000,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,38,3,1,0
311654,F,N,Y,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,68,0,0,1
311660,F,N,Y,0,56250,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,1
311701,F,N,Y,0,56250,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,0
311754,F,N,Y,0,292500,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,37,9,1,1
311927,F,N,Y,1,112500,Working,Higher education,Married,House / apartment,High skill tech staff,3,59,39,1,1
312067,F,N,Y,1,112500,Working,Higher education,Married,House / apartment,High skill tech staff,3,59,39,1,0
312131,F,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,50,27,1,1
312223,F,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,50,27,1,0
312507,M,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,33,4,1,0
312525,F,N,Y,1,112500,Working,Higher education,Married,House / apartment,Laborers,3,30,3,1,0
312578,M,Y,Y,1,324000,Working,Higher education,Married,House / apartment,High skill tech staff,3,31,8,1,1
312587,M,Y,Y,1,324000,Working,Higher education,Married,House / apartment,High skill tech staff,3,31,8,1,0
312772,F,N,Y,1,225000,Commercial associate,Higher education,Married,House / apartment,Managers,3,27,6,1,1
312802,M,Y,Y,3,270000,Commercial associate,Higher education,Married,House / apartment,Drivers,5,39,2,1,1
312858,M,Y,Y,3,270000,Commercial associate,Higher education,Married,House / apartment,Drivers,5,39,2,1,0
312893,F,N,Y,1,135000,Working,Incomplete higher,Married,House / apartment,Not identified,3,44,25,1,1
313010,F,N,Y,1,135000,Working,Incomplete higher,Married,House / apartment,Not identified,3,44,25,1,0
313375,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,52,5,1,0
313423,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,52,5,1,1
313625,F,N,Y,0,247500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,65,0,0,0
313645,F,N,Y,0,247500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,65,0,0,1
313751,F,N,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,39,12,1,1
313772,F,N,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,39,12,1,0
313920,F,Y,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,67,0,0,0
313955,F,Y,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,67,0,0,1
314168,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,42,4,1,1
314255,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,52,0,0,0
314259,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,52,0,0,1
314445,F,N,N,0,189000,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,2,51,0,1,0
314521,F,N,N,0,189000,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,2,51,0,1,1
314610,F,N,Y,0,495000,Commercial associate,Higher education,Married,House / apartment,Managers,2,54,10,1,1
314666,F,N,Y,0,495000,Commercial associate,Higher education,Married,House / apartment,Managers,2,54,10,1,0
314783,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,63,0,0,1
314842,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,63,0,0,0
314949,F,Y,Y,2,175500,State servant,Secondary / secondary special,Married,House / apartment,Core staff,4,52,1,1,1
314962,F,Y,Y,2,175500,State servant,Secondary / secondary special,Married,House / apartment,Core staff,4,52,1,1,0
315042,F,N,Y,0,62653,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1,54,0,1,1
315126,F,N,Y,0,62653,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1,54,0,1,0
315155,F,N,Y,0,121500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,68,0,0,0
315245,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,32,2,1,1
315297,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,32,2,1,0
315588,M,Y,Y,0,427500,State servant,Incomplete higher,Single / not married,Rented apartment,High skill tech staff,1,33,8,1,0
315591,M,Y,Y,0,427500,State servant,Incomplete higher,Single / not married,Rented apartment,High skill tech staff,1,33,8,1,1
315717,F,Y,Y,0,112500,Working,Secondary / secondary special,Single / not married,With parents,Medicine staff,1,26,0,1,1
315728,F,Y,Y,0,112500,Working,Secondary / secondary special,Single / not married,With parents,Medicine staff,1,26,0,1,0
315751,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,62,0,0,0
315780,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,62,0,0,1
315926,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Married,Municipal apartment,Not identified,2,60,0,0,1
316028,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Married,Municipal apartment,Not identified,2,60,0,0,0
316154,M,N,Y,1,157500,State servant,Incomplete higher,Married,House / apartment,Core staff,3,25,4,1,1
316248,M,N,Y,1,157500,State servant,Incomplete higher,Married,House / apartment,Core staff,3,25,4,1,0
316364,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,47,4,1,0
316400,F,N,N,0,252000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,63,0,0,1
316446,F,N,N,0,252000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,63,0,0,0
316666,F,Y,Y,0,279000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1
316763,F,Y,Y,0,279000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,0
316764,M,N,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,33,11,1,1
316940,M,N,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,33,11,1,0
317252,F,N,Y,1,67500,Commercial associate,Higher education,Married,House / apartment,Waiters/barmen staff,3,25,4,1,1
317288,F,N,Y,1,67500,Commercial associate,Higher education,Married,House / apartment,Waiters/barmen staff,3,25,4,1,0
317313,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,54,0,0,0
317334,M,N,Y,0,157500,Commercial associate,Incomplete higher,Separated,House / apartment,Security staff,1,37,5,1,1
317475,F,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,49,5,1,1
317699,F,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,49,5,1,0
317844,F,N,Y,0,193500,Pensioner,Incomplete higher,Widow,House / apartment,Not identified,1,67,0,0,1
317894,F,N,Y,0,193500,Pensioner,Incomplete higher,Widow,House / apartment,Not identified,1,67,0,0,0
318141,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,66,0,0,1
318670,F,Y,N,1,135000,Working,Higher education,Married,Rented apartment,Accountants,3,31,1,1,1
318728,F,Y,N,1,135000,Working,Higher education,Married,Rented apartment,Accountants,3,31,1,1,0
318802,M,N,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,Security staff,2,61,7,1,1
318904,M,N,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,Security staff,2,61,7,1,0
319028,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,58,0,0,0
319085,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,58,0,0,1
319223,M,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,39,2,1,1
319249,M,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,39,2,1,0
319315,F,N,N,0,113400,Pensioner,Higher education,Married,House / apartment,Not identified,2,56,0,0,0
319326,F,N,N,0,113400,Pensioner,Higher education,Married,House / apartment,Not identified,2,56,0,0,1
319369,M,N,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Security staff,1,30,5,1,1
319501,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Widow,House / apartment,Cleaning staff,1,58,2,1,0
319504,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Widow,House / apartment,Cleaning staff,1,58,2,1,1
319725,F,N,Y,0,112500,Working,Incomplete higher,Single / not married,Rented apartment,Laborers,1,23,4,1,0
319727,F,N,Y,0,112500,Working,Incomplete higher,Single / not married,Rented apartment,Laborers,1,23,4,1,1
319986,M,Y,Y,0,180000,State servant,Lower secondary,Married,House / apartment,Laborers,2,45,10,1,1
320027,F,Y,Y,0,225000,Working,Higher education,Separated,Rented apartment,Not identified,1,31,0,1,1
320077,F,Y,Y,0,225000,Working,Higher education,Separated,Rented apartment,Not identified,1,31,0,1,0
320117,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,59,1,1,1
320141,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,54,4,1,1
320278,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,54,4,1,0
320429,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,3,35,2,1,0
320467,F,N,Y,1,135000,Commercial associate,Higher education,Married,House / apartment,Not identified,3,37,0,1,1
320490,F,N,Y,0,189000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,56,0,0,1
320494,F,N,Y,0,189000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,56,0,0,0
320502,F,N,Y,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,25,3,1,0
320517,F,N,Y,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,25,3,1,1
320555,M,N,N,0,54000,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,31,4,1,0
320580,M,N,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,29,2,1,0
320588,M,N,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,29,2,1,1
320600,M,Y,Y,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,51,0,0,1
320710,M,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,31,1,1,1
320719,M,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,31,1,1,0
320750,F,Y,Y,1,171000,Commercial associate,Incomplete higher,Married,House / apartment,Not identified,3,31,5,1,1
320827,F,Y,Y,1,171000,Commercial associate,Incomplete higher,Married,House / apartment,Not identified,3,31,5,1,0
320954,F,N,Y,0,292500,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,52,13,1,1
321168,F,N,Y,0,292500,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,52,13,1,0
321425,M,N,Y,1,292500,State servant,Higher education,Married,House / apartment,Core staff,3,47,9,1,0
321444,M,N,Y,1,292500,State servant,Higher education,Married,House / apartment,Core staff,3,47,9,1,1
321558,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,47,1,1,0
321573,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,47,1,1,1
321810,F,N,Y,0,54000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,63,0,0,0
321820,M,Y,Y,0,63000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,1
321850,M,Y,Y,0,63000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,0
321881,M,Y,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,57,0,0,1
321998,M,Y,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,57,0,0,0
322200,F,N,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,43,7,1,1
322341,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,64,0,0,0
322394,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,64,0,0,1
322445,F,N,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,38,3,1,1
322469,F,N,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,38,3,1,0
322499,M,Y,N,0,135000,Working,Secondary / secondary special,Single / not married,Municipal apartment,Laborers,1,34,4,1,1
322562,M,Y,N,0,135000,Working,Secondary / secondary special,Single / not married,Municipal apartment,Laborers,1,34,4,1,0
322645,F,N,N,0,90000,State servant,Higher education,Married,Rented apartment,Core staff,2,44,4,1,0
322656,F,N,N,0,90000,State servant,Higher education,Married,Rented apartment,Core staff,2,44,4,1,1
322821,F,N,N,0,162000,Commercial associate,Higher education,Married,Rented apartment,Accountants,2,25,1,1,1
322861,F,N,N,0,162000,Commercial associate,Higher education,Married,Rented apartment,Accountants,2,25,1,1,0
322878,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,63,4,1,1
322983,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,63,4,1,0
